<lex>m<s>mela</s></lex>	m#mela:
<lex>f<s>A</s></lex>	f#A:
<lex>f<s>A</s><s>I</s></lex>	f#A:f#I:
<lex>f<s>A</s>f<s>I</s></lex>	f#A:f#I:
<lex>f<s>A</s><s>I<shortlong/></s></lex>	f#A:f#I:f#i:
<lex>f<s>A</s><s>ikA</s></lex>	f#A:f#ikA:
<lex>f<s>A</s>n</lex>	f#A:n:
<lex>f<s>I</s></lex>	f#I:
<lex>f<s>I</s><s>A</s></lex>	f#A:f#I:
<lex>f<s>I</s><s>Is</s></lex>	f#I:
<lex>f<s>I</s><s>i</s></lex>	f#I:f#i:
<lex>f<s>I</s><s>ikA</s></lex>	f#I:f#ikA:
<lex>f<s>I</s><s>ikA</s>n</lex>	f#I:f#ikA:n:
<lex>f<s>I</s>mfn</lex>	f#I:m:f:n:
<lex>f<s>I</s>n</lex>	f#I:n:
<lex>f<s>Is</s></lex>	f#Is:
<lex>f<s>Is</s><s>I</s></lex>	f#Is:f#I:
<lex>f<s>Us</s></lex>	f#Us:
<lex>f<s>Us</s>n</lex>	f#Us:n:
<lex>f<s>aMhatI</s></lex>	f#aMhatI:
<lex>f<s>akA</s><s>akI</s><s>ikA</s></lex>	f#akA:f#akI:f#ikA:
<lex>f<s>akA</s><s>ikA</s></lex>	f#akA:f#ikA:
<lex>f<s>i</s><s>I</s></lex>	f#i:f#I:
<lex>f<s>i</s><s>lI</s></lex>	f#i:f#lI:
<lex>f<s>ikA</s></lex>	f#ikA:
<lex>f<s>ikA</s><s>akI</s></lex>	f#ikA:f#akI:
<lex>f<s>ikA</s>n</lex>	f#ikA:n:
<lex>f<s>is</s><s>I</s></lex>	f#is:f#I:
<lex>f<s>lyA</s></lex>	f#lyA:
<lex>f<s>meTI</s></lex>	f#meTI:
<lex>f<s>tF</s></lex>	f#tF:
<lex>f<s>trI</s></lex>	f#trI:
<lex>f<s>u</s><s>U</s></lex>	f#u:f#U:
<lex>f<s>us</s><s>Us</s></lex>	f#us:f#Us:
<lex>f<s>us</s><s>vI</s></lex>	f#us:f#vI:
<lex>f<s>yantrI</s></lex>	f#yantrI:
<lex>f</lex>	f:
<lex>fm<s>mAna</s></lex>	f:m#mAna:
<lex>fm<s>SiYja</s></lex>	f:m#SiYja:
<lex>fm<s>ka</s></lex>	f:m#ka:
<lex>fn<s>ta</s></lex>	f:n#ta:
<lex>ff<s>I</s></lex>	f:f#I:
<lex>ff<s>ikA</s></lex>	f:f#ikA:
<lex>ff<s>padA</s></lex>	f:f#padA:
<lex>ff<s>rajjU</s></lex>	f:f#rajjU:
<lex>ff</lex>	f:
<lex>find</lex>	f:ind:
<lex>fm</lex>	m:f:
<lex>fmf<s>BI</s></lex>	m:f:f#BI:
<lex>fmf<s>I</s></lex>	m:f:f#I:
<lex>fmf<s>lI</s></lex>	m:f:f#lI:
<lex>fmf<s>pArzRI</s></lex>	m:f:f#pArzRI:
<lex>fmfn</lex>	m:f:n:
<lex>fmn</lex>	m:f:n:
<lex>fn</lex>	f:n:
<lex>ind</lex>	ind:
<lex>indmfn</lex>	ind:m:f:n:
<lex>m</lex>	m:
<lex>mf<s>-jYUs</s>n</lex>	m:f#jYUs:n:
<lex>mf<s>-vAt</s>n</lex>	m:f#vAt:n:
<lex>mf<s>IH</s>n</lex>	m:f#IH:n:
<lex>mf<s>iH</s>n</lex>	m:f#iH:n:
<lex>mf<s>zwrI</s>n</lex>	m:f#zwrI:n:
<lex>mf<s>DA</s></lex>	m:f#DA:
<lex>mf<s>A</s><s>I</s><s>han</s></p>n</lex>	m:f#A<s>I</s><s>han</s></p>n
<lex>mf<s>A</s><s>akA</s><s>ikA</s></lex>	m:f#A:f#akA:f#ikA:
<lex>mf<s>A</s><s>paliknI</s>n</lex>	m:f#Af#paliknI:n:
<lex>mf<s>I</s>n</lex>	m:f#I:n:
<lex>mf<s>I</s><s>utsAdi</s>n</lex>	m:f#I:n:
<lex>mf<s>I</s><s>sa-jitvarI</s>n</lex>	m:f#I:n:
<lex>mf<s>I</s><s>A</s></p></lex>	m:f#A:f#I:
<lex>mf<s>I</s><c>or_=_m</c></p>n</lex>	m:f#I:f:n:
<lex>mf<s>I</s><b><s>gOrAdi</s></b></p>n</lex>	m:f#I:n:
<lex>mf<s>SAlyUhI</s>n</lex>	m:f#SAlyUhI:n:
<lex>mf<s>Scat</s><s>/asaScantI</s>n</lex>	m:f#Scat<s>/asaScantI</s>n
<lex>mf<s>/aSiSvi</s><s>aSiSu</s>n</lex>	m:f#aSiSvi:f#aSiSu:n:
<lex>mf<s>/ajaGnuzI</s>n</lex>	m:f#ajaGnuzI:n:
<lex>mf<s>/asatI</s>n</lex>	m:f#asatI:n:
<lex>mf<s>apyA</s><s>apI</s>n</lex>	m:f#apyA:f#apI:n:
<lex>mf<s>g/AnDarvI</s>n</lex>	m:f#gAnDarvI:n:
<lex>mf<s>ikA</s><b><s>akA</s></b></p>n</lex>	m:f#ikA:f#akA:n:
<lex>mf<p>Ved<s>makA</s><s>mikA</s></p>n</lex>	m:f#makA:f#mikA:n:
<lex>mf<s>us</s><s>Us</s><s>vI</s>n</lex>	m:f#us:f#Us:f#vI:n:
<lex>mf<s>vy-advarI</s></lex>	m:f#vyadvarI:
<lex>mf<p>=<s>arI</s>n</lex>	m:f<p>=<s>arI</s>n
<lex>mf<p>=m<s>mnI</s>n</lex>	m:f:f#mnI:n
<lex>mf<s>A</s></lex>	m:f#A:
<lex>mf<p><c><s>A</s>_and</c><s>ArI</s>n</lex>	m:f#A:f#ArI:n:
<lex>mf<s>A</s><s>I</s></lex>	m:f#A:f#I:
<lex>mf<s>A</s><s>I</s><s>ikA</s></lex>	m:f#A:f#I:f#ikA:
<lex>mf<s>A</s><s>I</s>n</lex>	m:f#A:f#I:n:
<lex>mf<s>A</s><s>I</s><s>bahvAdi</s>n</lex>	m:f#A:f#I:n:
<lex>mf<s>A</s><b><ls>RV_v__63__6__<etc1/></ls></b><s>I</s><b><ls>RV_x__61__4__<amp/></ls><s>aruRayas</s></b></p>n</lex>	m:f#A:f#I:n:
<lex>mf<s>I</s><s>A</s>n</lex>	m:f#A:f#I:n:
<lex>mf<s>aruzI</s>n</lex>	m:f#A:f#I:n:
<lex>mf<s>A</s><s>I</s></p>n</lex>	m:f#A:f#I:n:
<lex>mf<s>A</s><s>bahvAdi</s><s>I</s>n</lex>	m:f#A:f#I:n:
<lex>mf<s>A</s><s>I</s><s>kASyAdi</s>n</lex>	m:f#A:f#I:n:
